activated,significance,energy_consumed,processing_time,threshold_used,ground_truth,dataset_name,config_name
False,0.5955621997722303,0.5,0.0002294000005349517,0.765,1,heart_disease,baseline_linear
False,0.6007480736485067,0.5,4.7200010158121586e-05,0.747,1,heart_disease,baseline_linear
True,0.5742771193473943,10.897108477389578,0.0012871385596736973,0.7628995400667402,0,heart_disease,baseline_linear
False,0.48392575027374224,0.5,3.759999526664615e-05,0.7734007459394108,1,heart_disease,baseline_linear
True,0.6655161153763233,11.262064461505293,0.0013327580576881616,0.8046838692720614,1,heart_disease,baseline_linear
False,0.38488745676858044,0.5,3.6999990697950125e-05,0.8340537619975952,0,heart_disease,baseline_linear
False,0.7554888887092648,0.5,3.549997927621007e-05,0.8605254035485326,1,heart_disease,baseline_linear
False,0.6374280287759889,0.5,3.579998156055808e-05,0.8835317524305468,1,heart_disease,baseline_linear
False,0.36250472420561547,0.5,3.649998689070344e-05,0.9033867029895905,0,heart_disease,baseline_linear
False,0.4939057065145967,0.5,0.0001115999766625464,0.92,0,heart_disease,baseline_linear
False,0.3276659226085063,0.5,5.859998054802418e-05,0.92,0,heart_disease,baseline_linear
False,0.5919326318562065,0.5,6.449996726587415e-05,0.92,0,heart_disease,baseline_linear
False,0.6568746992364047,0.5,5.289999535307288e-05,0.92,1,heart_disease,baseline_linear
False,0.44513358730847585,0.5,5.1799986977130175e-05,0.92,0,heart_disease,baseline_linear
False,0.5626238371633923,0.5,5.069997860118747e-05,0.92,1,heart_disease,baseline_linear
False,0.4110865155912685,0.5,5.169998621568084e-05,0.92,0,heart_disease,baseline_linear
False,0.5574201315332895,0.5,6.629998097196221e-05,0.92,0,heart_disease,baseline_linear
True,0.4273220793858043,10.309288317543217,0.0012136610396929022,0.92,0,heart_disease,baseline_linear
False,0.5579252106009855,0.5,5.779997445642948e-05,0.92,1,heart_disease,baseline_linear
False,0.5637633532199788,0.5,5.7999975979328156e-05,0.92,0,heart_disease,baseline_linear
False,0.6173048940151138,0.5,5.500001134350896e-05,0.92,1,heart_disease,baseline_linear
False,0.5535912632294258,0.5,5.6399963796138763e-05,0.92,0,heart_disease,baseline_linear
False,0.47092951631960134,0.5,5.6399963796138763e-05,0.92,0,heart_disease,baseline_linear
False,0.5024482541100923,0.5,5.889998283237219e-05,0.92,0,heart_disease,baseline_linear
True,0.7134297035705,11.453718814282,0.0013567148517852502,0.92,1,heart_disease,baseline_linear
True,0.6351599410393056,11.140639764157223,0.0013175799705196529,0.92,1,heart_disease,baseline_linear
False,0.44324724203833643,0.5,5.7999975979328156e-05,0.92,0,heart_disease,baseline_linear
False,0.6764106568026419,0.5,5.949998740106821e-05,0.92,1,heart_disease,baseline_linear
True,0.6163151689299285,11.065260675719713,0.0013081575844649642,0.92,0,heart_disease,baseline_linear
False,0.6292179346993609,0.5,5.720002809539437e-05,0.92,1,heart_disease,baseline_linear
False,0.4649551984782976,0.5,5.820003570988774e-05,0.92,0,heart_disease,baseline_linear
False,0.6617437265806305,0.5,6.10999995842576e-05,0.92,1,heart_disease,baseline_linear
False,0.46794452092616795,0.5,6.089999806135893e-05,0.92,0,heart_disease,baseline_linear
True,0.6441311952325586,11.176524780930235,0.0013220655976162795,0.92,1,heart_disease,baseline_linear
False,0.7447912117935904,0.5,5.9800047893077135e-05,0.92,1,heart_disease,baseline_linear
False,0.43819236391781247,0.5,5.979998968541622e-05,0.92,0,heart_disease,baseline_linear
False,0.6472867280329605,0.5,6.250001024454832e-05,0.92,1,heart_disease,baseline_linear
True,0.4756803275335187,10.502721310134074,0.0012378401637667593,0.92,0,heart_disease,baseline_linear
False,0.25255879186589586,0.5,6.410002242773771e-05,0.92,0,heart_disease,baseline_linear
True,0.5544665339240147,10.81786613569606,0.0012772332669620074,0.92,1,heart_disease,baseline_linear
False,0.5636322765512541,0.5,6.450002547353506e-05,0.92,1,heart_disease,baseline_linear
False,0.40457937720723225,0.5,6.499997107312083e-05,0.92,0,heart_disease,baseline_linear
False,0.5698658442070995,0.5,6.320001557469368e-05,0.92,1,heart_disease,baseline_linear
True,0.7450488994499789,11.580195597799916,0.0013725244497249896,0.92,1,heart_disease,baseline_linear
True,0.6423966711526706,11.169586684610683,0.0013211983355763354,0.92,1,heart_disease,baseline_linear
True,0.6094104097509656,11.037641639003862,0.0013047052048754829,0.92,1,heart_disease,baseline_linear
True,0.6128189255165102,11.051275702066041,0.0013064094627582552,0.92,0,heart_disease,baseline_linear
True,0.7377821067752256,11.551128427100902,0.0013688910533876128,0.92,1,heart_disease,baseline_linear
False,0.6512200983338193,0.5,6.75999908708036e-05,0.92,1,heart_disease,baseline_linear
False,0.4875160999841741,0.5,7.130001904442906e-05,0.92,0,heart_disease,baseline_linear
True,0.6230048246862497,11.092019298744999,0.001311502412343125,0.92,1,heart_disease,baseline_linear
True,0.5828433387209944,10.931373354883979,0.0012914216693604972,0.92,0,heart_disease,baseline_linear
False,0.5495038785882105,0.5,7.800001185387373e-05,0.92,0,heart_disease,baseline_linear
True,0.527813234601595,10.71125293840638,0.0012639066173007977,0.92,0,heart_disease,baseline_linear
True,0.7084820412188012,11.433928164875207,0.0013542410206094006,0.92,1,heart_disease,baseline_linear
True,0.5634016670856968,10.853606668342787,0.0012817008335428484,0.92,1,heart_disease,baseline_linear
True,0.442922065612878,10.371688262451512,0.001221461032806439,0.92,0,heart_disease,baseline_linear
False,0.6141306071093579,0.5,7.579999510198832e-05,0.92,0,heart_disease,baseline_linear
True,0.6152746907338368,11.061098762935348,0.0013076373453669184,0.92,1,heart_disease,baseline_linear
True,0.630678387699522,11.122713550798087,0.001315339193849761,0.92,1,heart_disease,baseline_linear
False,0.3288933554588082,0.5,7.050001295283437e-05,0.92,0,heart_disease,baseline_linear
False,0.6186366823711823,0.5,7.230002665892243e-05,0.92,0,heart_disease,baseline_linear
False,0.6341214465347873,0.5,8.539995178580284e-05,0.92,1,heart_disease,baseline_linear
False,0.5263762661232071,0.5,7.340003503486514e-05,0.92,0,heart_disease,baseline_linear
False,0.5805494808619805,0.5,7.370003731921315e-05,0.92,0,heart_disease,baseline_linear
False,0.750339896749901,0.5,7.180002285167575e-05,0.92,1,heart_disease,baseline_linear
True,0.46851371074360343,10.474054842974414,0.0012342568553718016,0.92,0,heart_disease,baseline_linear
True,0.44915800420852725,10.39663201683411,0.0012245790021042638,0.92,0,heart_disease,baseline_linear
True,0.4207760867267115,10.283104346906846,0.0012103880433633558,0.92,0,heart_disease,baseline_linear
False,0.5719776845123001,0.5,7.230002665892243e-05,0.92,1,heart_disease,baseline_linear
False,0.5681901222512563,0.5,7.990002632141113e-05,0.92,0,heart_disease,baseline_linear
False,0.5735230606822946,0.5,7.219996768981218e-05,0.92,0,heart_disease,baseline_linear
True,0.6507678221245494,11.203071288498197,0.0013253839110622747,0.92,1,heart_disease,baseline_linear
False,0.7926168536169608,0.5,7.369997911155224e-05,0.92,1,heart_disease,baseline_linear
True,0.28870566269580983,9.75482265078324,0.001144352831347905,0.92,0,heart_disease,baseline_linear
True,0.6937382996057598,11.374953198423041,0.00134686914980288,0.92,1,heart_disease,baseline_linear
False,0.4890895305384723,0.5,8.179998258128762e-05,0.92,0,heart_disease,baseline_linear
True,0.6911956344138194,11.364782537655277,0.0013455978172069096,0.92,1,heart_disease,baseline_linear
True,0.6641373409506185,11.256549363802474,0.0013320686704753092,0.92,1,heart_disease,baseline_linear
False,0.44319176865676213,0.5,7.930002175271511e-05,0.92,0,heart_disease,baseline_linear
True,0.5023854702820696,10.609541881128278,0.0012511927351410348,0.92,1,heart_disease,baseline_linear
True,0.7829558304596638,11.731823321838656,0.001391477915229832,0.92,1,heart_disease,baseline_linear
True,0.6209461386901006,11.083784554760403,0.0013104730693450505,0.92,1,heart_disease,baseline_linear
False,0.5030004384955074,0.5,8.510000770911574e-05,0.92,0,heart_disease,baseline_linear
True,0.6815447600598279,11.326179040239312,0.001340772380029914,0.92,1,heart_disease,baseline_linear
False,0.5929625651548682,0.5,8.299999171867967e-05,0.92,1,heart_disease,baseline_linear
True,0.5933330245175243,10.973332098070097,0.0012966665122587622,0.92,0,heart_disease,baseline_linear
True,0.6633267996987042,11.253307198794817,0.001331663399849352,0.92,1,heart_disease,baseline_linear
False,0.5565847103430699,0.5,8.330005221068859e-05,0.92,0,heart_disease,baseline_linear
True,0.5497288672192685,10.798915468877075,0.0012748644336096342,0.92,1,heart_disease,baseline_linear
